i3-dab5| accepted; 
a2 iti 3(disz) iti 2(disz)| labor of 3 months, 2 months, 
ensi2 asz2-nun-na{ki}| governor of Ešnunna, 
nam ur za3-be2 pad-da| In the event that by a dog(?) it has been completely smashed, 
u4 e2 gul-gul u4 gaba-zu zi-ga-ab u4 e2-za gi4-bi| Storm, destroyer of temples, storm, raise you chest (depart), storm, turn back/confine yourself in your house 
szar-ka3-li2-szar3-ri2| xxx 
kin gal unu7 gal-za| the large work in your large dining hall 
ki-tusz ku3 ki-ag2-ga2-ni| his beloved sacred residence  
1(u) gin2 e2 du3-a da e2 ha-la-ba-ni| A built house plot of 10 shekels adjacent to the house (that is) his portion (of the inheritance);
ensi2 adab{ki}| governor of Adab. 
har-ra-an {gesz}gigir-ra ba-gar-ra-zu u2-a-nir he2-em-mu2| may the grass of mourning grow on your highways laid for waggons! 
musz-mah hur-sag-ga2 nam ak-am3| it is a dragon hissing in the mountain. 
dumu ki-en-gi ki-uri-ke4 igi bi2-duh-am3 igi i-ni-duh-am3 a-na-gin7 an-ak| Did you see the citizens of Sumer and Akkad? I saw (them). How are (they) treated? 
lu2-{d}utu gaba-asz| for Lu-Utu, to the frontier; 
{disz}{d}utu-dingir-ke4| Šamaš-ilī
1(ban2) ga| 1 ban2 of milk, 
ki-nu-nir{ki}-ta| xxx 
szunigin 1(bur3) 4(iku) 1/4(iku) GAN2 8(disz)-ta| total: 1 bur3 4 1/4 iku surface area at 8 each, 
kiszib3 i7-pa-e3| under seal of Ipa’e; 
ad-da-kal-la| Addakala,
{disz}gu-ub DU| To stand
{d}nin-gir2-su ur-sag {d}en-lil2-la2| Ningirsu, hero of Enlil, 
ab2 sumun2| wild cow 
musz-gin7 sag-ga2-ne2| and, as with a snake, upon his head 
4(u) 5(disz) udu niga 2/3(disz) sila3 sze-ta| 45 sheep, grain-fed, 2/3 sila3 barley each, 
e2 {d}nin-gir2-su2| had the temple of Ningirsu 
2(disz) sa masz-szu-gi4-gi4| 2 bundles, for Maš-šugigi, 
GIN2.SZE3 i3-ni-se3| defeated him. 
lu2 ninda tur ka-a gub-ba-gin7| Like a man with (only) little food in the mouth, 
tu15 gub-ba sze mu-un-da-la2-e| (When) the water is still, I make it flow 
ge6-par4 ku3-ga-ni| his sacred Gipar
mu lugal i3-gal2| royal name entered; 
2(u) 8(disz) kun gu4| 28 tails of oxen, 
me-lam2-gu10 dul4-lu-da| Regarding my aura, which is to cover Kulaba 
ki-tusz sza3 du10-ga-na| the residence that gladdens her heart, 
an-ta-sur-ra| and the Antasura 
ama-du2-da-ni| his cousin(?) - 
2(u) 2(asz) 1(barig) 2(ban2) gur| 22 gur 1 barig 2 ban2,
ku6-bi lu2 nu-ba-dab6-kar-re2| no person shall take away its fish. 
lu2 ib2-ze-re-a| or any person who shall destroy it; 
a-sza3 da-na| The fields by his side, 
sa2 bi2-in-ne-esz| they reached(?).
temen ar2 nam-nun-na-ga2| foundation documents in praise of my princeliness 
u4 muszen gud3-ba zi-ga amar-bi-sze3 nig2-gu7 tum3-u3-de3| When the bird got up from its nest in order to bring (back) food for its chick 
ma-at-gi4-gi4|  for Mat-gigi;  
ki-la2-bi 4(disz) ma-na| its/their weight is 4 mana; 
2(gesz2) 4(u) 3(disz) udu| 163 sheep, 
a2 umma{ki}-sze3| under the control of Umma 
in-nu szesz tur-ra-zu-ne-sze3 sigx(NIG2)-ge-ne-eb| It has not (previously been the case?)! (Now) assimilate with your “little brothers” 
masz2 nu-ub-tuku| without interest,
e2 ge6-par3 en-na| of the Gipar house of the en priest(ess), 
ki-nu2 sza3-ba-gu10 min-ta-am3| Two times (in?) my inner bedroom(?) 
e2-an-na-tum2| Eannatum 
{disz}nam-lugal-la-ni-du10-ke4| Nam-lugal-ani-dug
1(disz) sila4 na-we-er-dingir| 1 lamb, Na-we-er-dingir
2(asz) szesz-lu2-du10| 2, Šešludu; 
sza3-bi su-ga sza3-ze2| xxx 
udu ad3| corpse of a sheep 
1(disz) gu4 u2| 1 ox, grass(-fed), 
kiszib3 giri3-{d}szara2-i3-dab5| under seal of Giri-Šara-idab; 
x a-na bar-bar-re| What makes her look around with a frightened gaze? 
igi-bi im-mi-in-pa3| He made their eyes discover(?) their design 
nig2-ka9-ak x gesz x x| xxx 
e2 uru11{ki}| household of Uru; 
im ba-a-sze-en6 ba-hul| rain fell (and) they were destroyed. 
6(disz) nu-banda3-gu4 2(u)-ta| 6 oxen managers at 20 each; 
1(disz) nu ur-{d}ur3-bar-tab| 1 diš-(worker) (no!): Ur-Urbartab, 
nu-esz3-bi giri2-la2 e2-an-na-me-esz| whose nu’eš priests are the sacrificers of Eanna! 
dumu dingir-isz-ma-an-ni| son of Ilum-išme'anni, 
lu2 zi sza3-ga im-mi-ni-pa3 sipa zi gu3-de2-a| You have chosen with your heart a worthy man, the true shepherd, Gudea. 
en-na {d}en-lil2-ba-ni lugal-e| until king Enlil-bāni 
mu-lu egir-ra ma2 egir-ra ba-ab-ug5| The men of the rear died at the stern 
{d}inanna-ra nir-gal2-la-e| in Inanna placing his trust 
uzu sza3 al-us2-sa| organ that leans/follow 
u4 an-ne2 an ba-an-ir-ra-a-ba| when An had taken the heavens for himself, 
tir a-du10-ga-nigin i3-dab5| the Aduganigin-woods took in charge; 
kiszib3 sin-i-qi2-sza-am| Seal of Sîn-iqīšam
sza3 {d}utu| the heart of Šamaš
e2 {d}nin-gesz-zi-da| (and) the house of Ningešzida, 
sze-bi 1(asz) 2(barig) 3(ban2) 2(disz) sila3 gur| its barley: 1 gur 2 barig 3 ban2 2 sila3,
1(asz) nin-mu-ba-dah| 1 Nin-mu-ba-dah
gu4 du7 masz2 du7-re6 si im-sa2-sa2-e| He shall straighten the horns of perfect oxen, perfect goats.” 
an-ra ne-sag mu-na-DU siskur2 mu-na-gub| She established the nesag offerings for An and established the siskur rites/offerings for him 
na-gada ip-qu2-{d}iszkur| shepherd Ipqu-Adda 
nig2-ka9-ak ur-{gesz}gigir szabra| xxx 
lugal e2-a-ni-ta nam-ta-du| The owner indeed came out of his House (again),
hur-sag-gin7 bi2-in-sukud| like a mountain he made tower there 
dumu ur-sa6-ga| son of Ur-saga, 
{gesz}ne-ki-pu-um| a wooden tool or container; 
mu ma-da za-ab-sza-li{ki}-ka| xxx 
iri-ni lu2 dili-gin7| His city, as one man,
a-sza3 si-ge-de3 gen-na esz2-GAN2 gi-disz-ninda nu-mu-da-ha-za| Go to “fill"(? i.e., map out?) a field! You cannot hold the measuring line and rod 
2(disz) ad7 gu4| 2 carcasses of oxen, 
nir-gal2 ukken-ta he2-am3-bi dugud-da| authoritative one, whose Amen in the assembly is weighty, 
mu en-unu6-gal {d}inanna ba-hun| year “En-unugal of Inanna was installed.”
lugal-im-ru-a| xxx 
szunigin 4(gesz2) 4(u) 3(asz) 3(ban2) 7(disz) 1/2(disz) sila3 gur| total: 283 gur 3 ban2 7 1/2 sila3, 
3(disz) x| 3 (mana wool for) ..; 
2(ban2) 9(disz) sila3 ga gazi| 2 ban2 9 sila3 sumac-cheese, 
bara2 ki sikil-la| and a dais on a pure place 
1(gesz'u) 5(gesz2) 3(u) 1(asz) gur| (subtotal:) 931, 
1(disz) ninda 2(disz) kusz3 2(disz) szu-du3-a gid2| 1 ninda 2 cubits 2 “fists”, the length; 
tukum-bi lugal-ga2 an-na-kam| If my lord agrees
mu {d}gu-za {d}en-lil2-la2 ba-dim2| year: “The throne of Enlil was built;” 
mu en ga-esz{ki} ba-hun| year: “The lord of Ga’eš was installed.” 
nin9 gal-gu10 ku3 {d}ga-sza-an-ki-gal-la-ke4| “Because lord Gud-gal-ana, 
a-du-du| Adudu, 
sza3 {kusz}du10-gan-na| in leather bags,
lu2 inim dingir-re2-ne dab5-ba| the man who kept to the words of the gods, 
u4 nig2 u2-gu de2-de3 hul gal2-e bi2-gub| The storm that is to cause (everything) to be forgotten stood among the malevolent (ones?) 
mu e2 {d}szara2 ba-du3-sze3| xxx
ki lu2-kal-la-ta| from Lukalla, 
mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul| Year: “Kimaš and Hurti were destroyed”
2(u) 5(disz)| 25, 
4(gesz2) sar gi zex(SIG7)-a 2(u) sar-ta| 240 sar, reeds uprooted, at 20 sar (a day), 
u4 2(u) 5(disz)-kam| on the 25th day.
mu u4-bi-ta-bi| and its former name 
i7 im-ni-a-ta| From the Imnia canal 
ur5-ta| Therefore,
gu4-bi tur3-bi-a nu-gub-bu-de3| that the cattle should not stand in the pen, 
kur-kur giri3-na| and all the lands at his feet 
sze-bi 4(u) 7(asz) gur| its barley: 47 gur; 
szagina-e-ne| (To the) generals 
{na4}u2-ru-tum na-me nu-gub-bu| urutum stone, (against) whom nothing stands 
mu lugal-bi in-pa3-de3-esz| they swore by the life of the king.
mu 1(gesz'u) 5(gesz2) i3-ak| he acted for 900 years. 
{d}utu inim ga-mu-na-ab-be2| So that I may speak a word with Utu 
u4-ba en-mete-na-ke4| At that time, Enmetena 
iti amar-a-a-si| month “Amar-ayasi,”
{d}en-lil2 en gal| And Enlil, the great lord,
{d}en-ki-ke4| the god Enki -
gudu4 e2-mah| gudu(-officiant) of the Emaḫ. 
ba-usz2 u4 2(u) 4(disz)-kam| slaughtered, 24th day, 
u4 re-a nam ba-tar-ra-ba| In those remote days, when the fates were determined; 
mu en {d}nanna ga-esz{ki} ba-hun| year: “The high-priestess of Nanna at Ga’eš was installed.”
un-da-lu-lu mu 6(disz) i3-ak| Undalulu, 6 years he ruled; 
sze-bi 1(gesz2) 2(u) 8(asz) 3(barig) gur| its barley: 88 gur 3 barig; 
su3-u4-bi lugal szar2-ra-ba-ke4| (you) who unto distant (time) is king of multitudes! 
dingir-ama-zu {d}nin-sun2-na szaganx(AMA){gan} numun zi-da| your mother goddess is Ninsuna, the mother who bore healthy offspring
sze szuku-ra ensi2| barley allocations of the governor 
2(u) 2(disz)| (subtotal:) 22, 
i7 ur-sag a2-ni-a| of the Ursagania Canal 
kiszib3 i3-kal-la| Seal(ed tablet of) Ikala.
ku3-ku3-ge| does sanctify,
ugula-zu ki ha-ra-an-ag2| Your overseer will love you 
me-na-am3 gesz-na2 gi-rin-ba i3-nu2-de3-en bi2-in-du11| She said “When am I to I lie down on its flowering bed?” 
ugu2 kas4 ba-a-gar| on the debit account of Kas set, 
dumu ur-{d}szakkan2 szusz3| son of Ur-Šakkan, cattle manager(?). 
zi-ga u4 2(u) 7(disz)-kam| booked out, 27th day; 
mu sa-am-su-i-lu-na lugal-e nig2 babbar2-ra siskur2-ra| the year (in which) Samsu-luna the king a shining object (and) an offering (suitable for the Akitu festival dedicated).
an-na izi e3-de3| Bringing out fire(?) in (i.e. from?) heaven 
mu hu-uh2-nu-ri{ki} ba-hul| xxx 
e2 E husz an-NA| House, furious storm(!?) of the universe(!?). 
da-umma{ki}| Da’umma, 
ur-{d}ba-ba6| for Ur-Baba; 
sze-bi 1(u) 6(asz) 1(barig) gur| its barley: 16 gur 1 barig; 
sanga {d}nin-gir2-su-ka| the temple administrator of Ningirsu. 
e2-ne-ne| their temples 
n mu ib2-ak| n years they ruled; 
u {uruda}gin2-sal szanabi ma-na-ta sa2-a-ab| Ten (times) level it with a light hoe weighing two-thirds mana 
in-na-ab-szum2-mu| he shall provide to her;
1(u) 9(disz) gin2 ku3-bi gur-ru-dam| he shall return the 19 shekels of silver
{d}nin-a-zu e2-gid2-da-ke4 {gesz}tukul ub-ba i-ni-in-gub| Ninazu deposited his weapon in a corner in the E-gida. 
u4 1(disz)-kam| the 1st day, 
la2-ia3 kun gu4 3(disz)-kam| deficit: tail of 3 oxen, 
lu2-du10-ga ugula| Luduga, the foreman, 
gaba-ri-gu10-me-en| You are (really) my opponent? 
5(disz) dug dida saga| 5 jugs of good dida-beer, 
a-ra-zu-e gesz tuku| who listens to prayer, 
5(disz) sila3 zi3-dub-dub| (and) 5 sila3 dubdub flour,
nundum zu2 bi2-in-gub inim sza3-sze3 ba-ti| She bit her lip and took the words to heart. 
uszum {gesz}geszimmar-bi im-ma-ab-dab5-be2| the dragon and the date palm he seizes there. 
{d}nu-nam-nir du11-ga esz-bar zi nig2 nu-kur2-ru ge26-me-en| “I am Nunamnir, whose firm commands and decisions are immutable! 
dumu si-im-ti-szi-il-ha-ak| son of Simti-šilḫak, 
{d}inanna-ke4| of Inanna,
tur-tur ~  = %a da-qu3-tum| tiny ones 
gu2-gar-ra {gesz}kiri6 kab2-du11-ga {gesz}kiri6| xxx 
na de5-ga-gu10 szu nu-un-bar-re| She did not forget my instructions. 
ki-la2-bi 1(disz) ma-na 1(u) 3(disz) gin2| Its weight: 1 ma-na, 13 shekels. 
e2| house 
ganzer3 = %a ba-ab er-s,e-tim| gate to the nether world 
la2-ia3 i3| the oil deficit 
lugal eridu{ki}-ga| the king of Eridu, 
{d}nin-nag-su-ka-ke4| did Nin-Nagsuka 
ba-an-gi4 szum2-mu dingir gal-gal-e-ne-er| and gives responses to all the great gods,  
e2 bi2-gu7-a bala-a| xxx 
gudu4-ge-ne| The lustration priests 
i7 ma2-gur8-ra ba-ab-du7-a-zu sza3-ba teme{sar} ba-mu2| The teme plants grow in the middle of your watercourses which were once suitable for barges, 
{d}nanna en me an-ki szu du7| Nanna, the lord who perfects the divine attributes of heaen and earth, 
mu a-ra2 2(disz)-kam kar2-kin2-na{ki} ba-hul| year: “For the 2nd time Karkina was destroyed,” 
ha-ba-zi-zi| will to Ḫabazizi 
{d}inanna zabala2{ki}| For Inanna of Zabalam, 
n-kam-ma| It is the nth kirugu 
tukum-bi lu2 lu2 di in-da-tuku-am3| If a man takes another man to court,
bad3 gal hu-mu-til| and the big wall I completed.
udu sikil-la-ta| sheep apart from/by means of purity 
te-esz du11-ga-ni-ta| who by using his voice   
sag an-e us2-sa| whose head reaches the sky, 
1(asz) ur-{d}{sze3}szer7-da| 1, Ur-šerda; 
SZIM mah-sze3| and into a great basin 
e2-ni mu-na-du3| her temple he built. 
u4 i7-gibil| when the New Canal 
igi lugal-me-lam2-husz nar-gal| before lugal-melamḫuš, chief musician;
ur-e2-gal| Ur-egal, 
1(u) 6(disz) tu-di-da zabar| 16 toggle pins, bronze. 
mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3 mu us2-sa-bi-sze3| year after: “The house of Puzriš-Dagan was erected,” year after that; 
szesz {d}gilgamesz2 gu-la-me-en| I am the older brother of Gilgameš! 
igi a-pil-i3-li2-szu ugula e2 dingir-mah-sze3| In the presence of Apil-ilīšu, overseer of the temple of Dingirmaḫ;
u4 3(u) la2 1(disz)-kam| the 29th day;
2(ban2) lugal-ezem| (and) 2 ban2, Lugal-ezem
e2-kisz-nu-gal2 a-sze-er gig-ga-am3 a-sze-er-zu gar-ra| Ekišnugal temple, the lament is bitter, initiate your lament! 
mu us2-sa ki-masz{ki} u3 hur-ti{ki} ba-hul| year after: “Kimaš and Ḫurti were destroyed.” 
gu2-gu2-bi {u2}munzer lu2-a u2-lal3-e gu7-e| Its banks are lush with licorice, a honey-sweet plant to eat.
{gesz}al {gesz}dusu ga2-ra ha-ma-szum2-szum2| gave me mattocks and earth baskets
1(bur3) GAN2 1(u) 2(disz)-ta| 1 bur3 surface area at 12 each, 
sag-bi-sze3 e3-a-zu| going out at the forefront, 
{dug}ku-kur-du3 kasz du10-du10-ga duh-ba bi2-in-sa2-sa2| He made kukurdu containers settle(?) in/with(?) the residue(?) of the very good/sweetened beer(?) 
nu-banda3 ur-{d}utu| xxx
2(u) 2(asz) ka5:a| 22 (persons under) Ka'a. 
nam-lu2-lu7 u4 ri-a-ke4-ne| The humans of that distant time 
1(disz) PA-da| 1 PAda, 
al-la| Alla, 
szeg9-bar| Mesopotamian fallow deer 
eszszeb| clay pit? 
ki du10-ga-am3 e2 im-ma-an-du3| He has built it in a pleasant place, 
ab-ba u4-ta ba-ra-ab-tak4-a| the old men who survived those days, 
sze-ga-ne-ne-ta in-ba-esz| have divided in mutual agreement.
alan ku3-babbar| a silver figure
dumu ur-nigar| son of Ur-nigar, 
{gesz}tukul kal-ga gesz-gaz lu2-kur2-e-ne| a mighty weapon which pounds the foreigners,
nu 1(barig) 4(disz) kur-na nu x x| Not (receiving): 60 litres (of barley) 4 units (for) PN
ama-ar-gi4-bi| their freedom
e2-nig2-GA-ra| or into a storehouse 
n gin2 uruda| n shekels of copper, 
ki ur-{gesz}gigir dumu a-si-lu-ta| from Ur-gigir, son of Asilu; 
dumu na-silim-ka| xxx 
nigin-ba geme2 usz-bar lu2 azlag2| xxx 
gurum2| delivery 
5(u) 3(asz) 1(barig) 5(ban2) zi3 gur| 53 gur 1 barig 5 ban2 flour; 
ti-ri-ga u4 4(u) i3-ak| Tiriga, 40 days he ruled; 
ki u3-ma gub-bu-zu lu2 ka-tar-ra-zu ba-ra-sa2| And therefore(?) the one of your praise cannot compete with(?) the site of your triumph 
nam-si-sa2-gu10-usz gidri ma-an-szum2-mu-usz| They gave me a scepter because of my justice 
e2-an-na-tum2-ma| Eannatum, 
dumu kal-li2-zi| son of Kallizi. 
dumu ur2-ra-dingir| xxx 
e2 {d}gesztin-an-na-kam {gesz}al-gar-sur9-ra-am3| In(!?) the temple of Geštinanna, the algarsur instrument is (there?) 
u4 1(u)-kam| 10th day, 
1(gesz2) szabra| 60, the household manager; 
1(gesz2) 2(u) udu im 9(disz)-kam| 80 sheep, 9th tablet;
mi-ni-kux(KWU634)| I made become. 
u4-ba il2| At that time, Il, 
lugal-am3 mu 3(u) i3-ak| was king, 30 years he ruled; 
5(gesz2) 3(u) 7(disz) udu| 337 rams, 
mu {d}szu-{d}suen lugal-e ma-da za-ab-sza-li{ki} mu-hul| year: “Šū-Suen, the king, the lands of Zabšali destroyed.” 
{d}szul-gi-a-a-mu i3-dab5| Šulgi-ayamu accepted; 
akkil gar-ra-gu10 nig2-ku7-ku7-da-kam| My cry is “that of a sweet thing"(?) 
kasz nag-sze3| for “beer-drinking,” 
ganzer ~ IGI.KUR.ZA = %a da-ni-na| the nether world 
{d}nin-lil2-la2 siskur a-ra-zu-a sza3 im-ma-an-sed4| Ninlil was soothed with offerings and prayers. 
5(u) 1(asz) 4(barig) 2(ban2) gur| 51 gur 4 barig 2 ban2
e2-galga-su3| Egalgasud temple, storehouse that makes silver and lapis 
{d}en-lil2-bi ki-tusz mah-a tusz-u3-de3 unu-bi sikil-e-de3| So that “its Enlil"(?) resided in a supreme dwelling, in order to purify its inner sanctum/banquet hall 
GUR8 i3-gu7| I shall exploit as an interest-bearing loan. 
e ki-sur-ra| who, over the levee of the boundary territory 
ki-lagasz{ki}-a| and the whole state of Lagaš,
sze-bi 1(u) 5(asz) 3(barig) gur| its barley: 15 gur 3 barig; 
zi-kir szu-mi| In its great dining hall, the trustworthy hero chosen by Nunamnir 
1(disz) ur-tum-al sa12-du5| 1 Ur-Tummal, chief surveyor, 
e2 u6-di-bi i3-du10-ga-ri u6-di ba-a-gul| (And?) the awe of the temple, which had been good(?)--the awe was (now) destroyed” 
sahar-zu sahar du10-ga-am3| your soil is good soil 
eme-za3-ga-bar-bar| Childish fool, driveling(?) 
sag-ge6-ga tu15-tu15 ba-an-dal ug3-e sze am3-sza4| He swept the winds over the black-headed people -- the people groan. 
bir5-DAR| (a kind of flying insect) 
dumu {d}en-lil2-ma-lik| son of Enlil-mālik, 
nar| singer 
kiszib3 ur-e11-e| Sealed tablet of Ur-e’e. 
{d}nin-lil2-ra| To the goddess Ninlil, 
didli| xxx 
ku6 a-nigin2-na lug-ga-gin7 zi-bi in-tum3-tum3-mu| Like fish living in a pond, they were seeking refuge 
tukum-bi e2 lu2-ka lu2 sze i3-si| If a man has put barley into another man’s house,
{e2}tur3 dagal-la {d}nanna-ka dub-ba-an-bi ba-si-il| The reed fence of the well-stocked cattle-pen of Nanna was split open. 
u8 ib2 gig| ewe with arthritic hips 
a iri{ki} gul-la e2 gul-la-gu10 gig-ga-bi im-me| She was saying “Alas, my destroyed city, my destroyed temple” bitterly 
1(disz) sila4| 1 male lamb
gidim ba-e-de3-ur4-re-esz| the spirits would feel insulted by you. 
nin-ga2 nam e2-na mu-un-te er2 gig mu-sze8-sze8| Upon my lady/that of my lady(?) the fate of the temple approaches(?), she weeps bitterly 
ur-bar-ra| wolf 
GAB2| the herder; 
ku3-ge sikil-e-bi| so that they should sanctify and purify again, 
ISZ.DU6.KID2-bi 2(u)| and its 20 tumuli 
2(gesz2) 1(u) 5(disz) gu-nigin2 gi NE a2 gurusz-bi 1(gesz2) 7(disz) 1/2(disz)| 135 bales of NE-reed, its labor of the male laborers: 67 1/2 
1(disz) ud5 masz2 nu-a| 1 nanny, a billy known, 
mu he2-gal2-la u4 du10 asil3-la2-a nam-sipa he2-ak-ke4| He shall exercise the shepherdship in a year of abundance (consisting of?) good days of(?) rejoicing 
u4 2(u) 8(disz)-kam| On the 28th day. 
nin ku3 nun-na| Ninkununa 
e2-a-ra-li| House Netherworld 
dumu ur-dingir-ra| child of Ur-dingira. 
dumu at-ta-ma-nu-um| son of Attā-mannum, 
mu-ba-al| he dug. 
ku5-da| otter 
iri-ni nina{ki}-sze3 i7-nina{ki}-du-a ma2 mu-ni-ri| Towards Nina, her city, on Ininadua, he directed the barge, 
erin2-ba sza-ra-si-il-le| It will split apart the workforce(!?) 
unu{ki}-ga lugal-za3-ge-si| In Uruk, Lugalzagesi 
ku3-{d}nanna sukkal gaba-ta| for Ku-Nanna, the messenger, from the frontier, 
4(disz) masz2 szu-gid2| 4 bucks, 
4(disz) gu4-gal| 4 mature bulls, 
nin uru2-ni ki ag2 he2-me-en-na amasz-zu-ta ba-e-ni-tag| Although you are a queen who loves her city, you abandoned your sheepfold. 
ku3 {d}inanna-ke4 er2 e-ne ba-sze8-sze8| But silver Inanna cried!” 
la-ag-la-gum2| a kind of rodent 
mu-na-du3| I built for him, 
1(u) la2 1(disz) gu4 niga saga| 10 less 1 oxen, grain-fed, fine quality, 
e2 bur-sag| strorehouse of the bursag offering 
sukkal-a-ni {d}ga-sza-an-szubur-ra egir-a-na i-im-gen| Her minister Ninšubur traveled behind her. 
ki-be2 gi4-gi4-de3| and the restoring of his temple 
4(u) 5(disz) sar gi zex(SIG7)-a 1(u) 5(disz) sar-ta| 45 sar, reeds uprooted, at 15 sar (a day) 
uri2{ki}-sze3 ga-an-DU| I want to go (back) to Ur 
lu2-kal-la| Lukalla 
esz3-esz3 u4-sakar| (for) the eš-eš-festival of the new moon day; 
u3-mu-un-bi im-hul-am3 szu-bi bi2-in-gi4-am3| Its lord, who has despoiled it like an evil wind, 
asz2 hul-bi| a destroying curse for it  
uri2{ki} gul-gul-de3 he2-em-ma-ag2-esz-a-ba| When they have ordered(!) Urim to be destroyed 
e2 lu2-gu-la-ke4| When to the house of an aristocrat 
2(barig) 5(ban2) kiszib3 lu2-giri17-zal nu-banda3-gu4| 2 barig 5 ban2, under seal of Lu-girizal, supervisor of oxen,
ga2-e-me-en {gesz}tukul-la a-la mu-un-ga2-ga2-an| It is I who puts passion into the weapon 
iti nig2-e-ga| month “Nigega,” 
ganun mah| the great storehouse 
nam-ha-ni| Namḫani 
i7 ab2-gal-sze3| to the Abgal canal. 
nig2-zi-gal2 an ki sag-ge6 im-ma-an-dub2-ba re| May that storm, which struck down all the black-headed living beings of heaven and earth, 
{d}iszkur-ba-ni| for Adda-bani; 
{d}en-lil2-le| May Enlil 
gu3-de2-a en {d}nin-gir2-su-ke4| ‘lord Ningirsu, for Gudea, 
1(u) 1(disz) gurusz 2/3(disz)-ta| 11 male laborers, 2/3 shekel (per month) each, 
szu-GIR2-bi 1(barig) 4(ban2) 2(disz) 2/3(disz) sila3| its šuGIR: 1 barig 4 ban2 2 2/3 sila3; 
a-ba me-esz| Who are they? Who are they? 
nam-ti| May life 
{d}nin-ka-si sumun2 dug-a a gar-ra-zu| Ninkasi, it is you who soak the malt in a jar;
bala gub-ba {d}suen-im-gur-an-ni dumu dingir-ma-an-szum2| his term of office, Sîn-imgurrani son of Dingir-manšum
lugal kisz| king of Kish, 
1(ban2) dabin 1(ban2) kasz du| 1 ban2 of semolina (and) 1 ban2 of ordinary beer 
5(u) ninda bappir3 tur-tur| 50 small beer loaves, 
iti sze-sag11-ku5| month: “Harvest;” 
nig2-du7-e pa mu-na-e3| made a fitting thing resplendent for him, (namely) 
i7-bi za3 {i7}{d}ma-mi-szar2-ra-at i7 he2-gal2 kalam-ma-ka| that canal alongside the Mama-šarrat canal, the canal of abundance of the nation, 
gesz-rin2 disz ma-na la2| scales of one mina capacity 
dumu {d}suen-i-qi2-sza-am| son of Sîn-iqīšam, 
na-ra-am esz4-dar| is the Beloved of Ištar 
he2-en-na-ba-e| may he allot to him. 
szir dili| man with single testicle 
ki nam-nita-a-ke4 me3-a nu-un-szub kur-re im-ma-an-dab5| He did not fall in battle on the field of manhood, but the nether world has seized him.” 
ha-ma-zi-ru12-um| large mouse, rat 
nam-1(u) la-al-ku-da| 10-(troop) of Lalkuda; 
lugal-ma2-gur8-re| Lugal-magure, 
ki da-da-ga-ta| from Dadaga 
2(barig) {sze}ha-zi| Two barig of ḫazi-barley, 
a mu-na-ru| dedicated it (this mace head). 
mi-tar-tar| He inquired after 
munus ul-la2 sig7-ga| a woman(?) green with flower buds(?),
ur-gu-la gu2 nu-mu-ni-ib2-ra-ra| The lion did not roar/smite the neck/roar(?) 
mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d}en-lil2-ra mu-na-du3| year: “Šū-Suen, the king of Ur, the great stele of Enlil erected.” 
mu en-mah-gal-an-na en-{d}nanna ba-hun| year “Enmahgalanna (?) priestess of Nanna (?) was installed.” 
iri{ki} ma-da-ni-sze3| to his city and land 
munus-bi dam-a-ni-ta sa6-ga| Its woman shall not say pleasant things with her husband 
{d}lugal-ur-tur3| (A statue of) Lugal-ur-tur 
{d}nin-gir2-su-ka-kam| is (standing a statue) of Ningirsu! 
e2 musz2-bi an-sza3-ga la2-a| House whose diadem extends into the midst of the heavens, 
dumu nibru{ki}| son(s) of Nippur; 
{d}en-lil2-le2 igi-ni ki| It was the (time) that Enlil set his gaze on another place 
diri 5(asz) gu2 2(u) 3(disz) ma-na| excess: 5 talents 23 mina; 
ka-tar si-il-la-zu ba-ra-til-le me-a mu-zu mah nu| And therefore your praise will not be completed(?), where will your supreme name not be (present)? 
ki a-kal-la aszgab-ta| from Akalla, the leather worker, 
ur-{gesz}gigir dumu bar-ra-an| xxx 
szunigin 4(u) 1(asz) 5(ban2) sze gur| total: 41 gur 5 ban2 barley; 
a-sza3 esz18-dar-dingir dumu ta-ri-bu| (this) field, of Ištar-ilu son of Taribu,
mu {d}en-lil2-la2 i3-mi-ib2-pa3-de3| the name of Enlil invoking, 
{d}nin-gir2-su2-ka| of Ningirsu, 
2(barig) lugal-an-na-tum2| 2 barig, Lugal-annatum,
{d}x| For the goddess DN, 
u4-ba| At that time, 
2(disz) ad7 gu4 geme2 usz-bar-e gu7-a| 2 carcasses of oxen fed to weaving female laborers, 
lugal du11-ga-ni| the king whose utterances
8(disz)| (total:) 8 
lugal szaga| the captive king,
e zi-zi pa5 ga2-ga2| Raising dikes, putting down ditches 
lugal-a-ni| (a statue of) her king
sze szuku-ra-bi 2(asz) 4(barig) gur| its barley of rations: 2 gur 4 barig; 
lugal-sza3-engur| Lugal-ša-engur, 
2(disz) gu4-gal| 2 mature bulls, 
1(barig) zu2-lum| 1 barig of dates, 
za-e tur pe-el-la2 na-ga2-ah-me-en| You are a “defiled child,” stupid 
3(disz) udu| (total:) 3 small cattle. 
u4-gin7 sze17 gi4-gi4-da-zu-ne| When like the storm you howl, 
mu-na-du3| build. 
nin9-gu10 nam-nin-e tu-da| My sister, born into ladyship 
